ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
201516,RM1M128006,SCUOLA SECONDARIA I GRADO,1,11 anni,35
201516,RE1M002007,SCUOLA SECONDARIA I GRADO,2,11 anni,2
201516,PA1M01700R,SCUOLA SECONDARIA I GRADO,1,12 anni,2
201516,CT1MHE500T,SCUOLA SECONDARIA I GRADO,3,13 anni,3
201516,RM1M04200G,SCUOLA SECONDARIA I GRADO,3,12 anni,12
201516,NA1M02600P,SCUOLA SECONDARIA I GRADO,3,12 anni,9
201516,VE1M006008,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,MI1M056001,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,VI1M003004,SCUOLA SECONDARIA I GRADO,2,12 anni,25
201516,NA1M007009,SCUOLA SECONDARIA I GRADO,3,13 anni,3
201516,BG1M006009,SCUOLA SECONDARIA I GRADO,3,13 anni,52
201516,CO1M001001,SCUOLA SECONDARIA I GRADO,3,13 anni,23
201516,MI1M10600R,SCUOLA SECONDARIA I GRADO,1,11 anni,12
201516,RM1M11200L,SCUOLA SECONDARIA I GRADO,2,11 anni,1
201516,BG1M02400V,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,5
201516,BA1MD7500G,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,LC1M05000X,SCUOLA SECONDARIA I GRADO,2,11 anni,7
201516,RI1M00200E,SCUOLA SECONDARIA I GRADO,1,11 anni,5
201516,NA1M015008,SCUOLA SECONDARIA I GRADO,1,11 anni,31
201516,RM1M15000B,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,MI1M00600X,SCUOLA SECONDARIA I GRADO,2,13 anni,2
201516,MI1M06400X,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,ME1MU5500F,SCUOLA SECONDARIA I GRADO,2,13 anni,3
201516,CA1M01500X,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,NA1M060006,SCUOLA SECONDARIA I GRADO,1,13 anni,1
201516,MI1M00900B,SCUOLA SECONDARIA I GRADO,1,13 anni,1
201516,SV1M00200X,SCUOLA SECONDARIA I GRADO,3,13 anni,35
201516,MI1M071003,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,RM1M08500D,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
201516,UD1M009004,SCUOLA SECONDARIA I GRADO,3,13 anni,11
201516,RA1M001001,SCUOLA SECONDARIA I GRADO,1,11 anni,15
201516,VA1MAR500M,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
201516,VR1M00900B,SCUOLA SECONDARIA I GRADO,3,13 anni,11
201516,RM1M04700P,SCUOLA SECONDARIA I GRADO,3,13 anni,20
201516,NA1M03300T,SCUOLA SECONDARIA I GRADO,3,13 anni,12
201516,BS1M02400B,SCUOLA SECONDARIA I GRADO,1,11 anni,24
201516,VE1M002001,SCUOLA SECONDARIA I GRADO,3,13 anni,23
201516,MI1M06600G,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,9
201516,MI1M050002,SCUOLA SECONDARIA I GRADO,3,13 anni,19
201516,TO1M050002,SCUOLA SECONDARIA I GRADO,3,13 anni,45
201516,MI1M027001,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,4
201516,BO1M00900P,SCUOLA SECONDARIA I GRADO,3,13 anni,63
201516,RM1M14200C,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,AL1M00200Q,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,TO1M012007,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,VI1M01500A,SCUOLA SECONDARIA I GRADO,1,13 anni,1
201516,FI1M02600E,SCUOLA SECONDARIA I GRADO,2,11 anni,2
201516,BG1MVN5002,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
201516,RM1M09300C,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,RM1M057009,SCUOLA SECONDARIA I GRADO,1,11 anni,70
201516,GE1M014005,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,MI1M09300X,SCUOLA SECONDARIA I GRADO,2,12 anni,55
201516,SR1M00200P,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,2
201516,RM1M11800G,SCUOLA SECONDARIA I GRADO,3,12 anni,8
201516,MI1M03600Q,SCUOLA SECONDARIA I GRADO,2,12 anni,17
201516,MI1M076006,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,VI1M011003,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
201516,PA1M02100C,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
201516,FR1M003006,SCUOLA SECONDARIA I GRADO,3,12 anni,17
201516,VR1M020006,SCUOLA SECONDARIA I GRADO,2,13 anni,1
201516,MI1M021002,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,VT1M00500P,SCUOLA SECONDARIA I GRADO,3,13 anni,9
201516,NA1M01300L,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
201516,VA1M009009,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
201516,CT1M00200E,SCUOLA SECONDARIA I GRADO,3,13 anni,17
201516,RM1M08000A,SCUOLA SECONDARIA I GRADO,3,12 anni,4
201516,TV1MRF500I,SCUOLA SECONDARIA I GRADO,2,12 anni,13
201516,PD1M00800T,SCUOLA SECONDARIA I GRADO,3,13 anni,69
201516,PD1M01000T,SCUOLA SECONDARIA I GRADO,1,11 anni,46
201516,TO1M02900L,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,1
201516,RN1M02000L,SCUOLA SECONDARIA I GRADO,3,13 anni,81
201516,VI1M017002,SCUOLA SECONDARIA I GRADO,2,11 anni,1
201516,NA1MZ9500S,SCUOLA SECONDARIA I GRADO,2,> di 13 anni,1
201516,CO1M01800A,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,6
201516,PV1MPM500O,SCUOLA SECONDARIA I GRADO,3,12 anni,2
201516,VA1M01400R,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,4
201516,VR1MN2500I,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,MI1M04600A,SCUOLA SECONDARIA I GRADO,1,11 anni,24
201516,PV1M00600N,SCUOLA SECONDARIA I GRADO,3,13 anni,34
201516,RM1M082002,SCUOLA SECONDARIA I GRADO,3,12 anni,1
201516,CT1M01600C,SCUOLA SECONDARIA I GRADO,1,11 anni,17
201516,MI1M071003,SCUOLA SECONDARIA I GRADO,2,11 anni,1
201516,RM1M086009,SCUOLA SECONDARIA I GRADO,3,12 anni,4
201516,FG1M002009,SCUOLA SECONDARIA I GRADO,1,13 anni,1
201516,TO1M01000G,SCUOLA SECONDARIA I GRADO,2,12 anni,42
201516,FI1M02000G,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,1
201516,VA1M00800D,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
